"CONTENT TYPE","TITLE","ABBR","ISSN","e-ISSN","PUBLICATION RANGE: START","PUBLICATION RANGE: LATEST PUBLISHED","SHORTCUT URL","ARCHIVE URL"
"Magazines","interactions","interactions","1072-5520","1558-3449","Volume 1 Issue 1 (Jan. 1994)","Volume 20 Issue 6 (November + December 2013)","http://dl.acm.org/citation.cfm?id=J373","http://dl.acm.org/citation.cfm?id=J373&picked=prox"
"Magazines","netWorker","netWorker","1091-3556","1558-3473","Volume 1 Issue 1 (March/April 1997)","Volume 13 Issue 4 (Winter 2009) - Health and Biomedical Informatics","http://dl.acm.org/citation.cfm?id=J582","http://dl.acm.org/citation.cfm?id=J582&picked=prox"
"Publications by Affiliated Organizations","ALGOL Bulletin","ALGOL Bull.","0084-6198","","Issue 1 (Mar. 1959)","Issue 52 (Aug. 1988)","http://dl.acm.org/citation.cfm?id=J33","http://dl.acm.org/citation.cfm?id=J33&picked=prox"
"Publications by Affiliated Organizations","Computational Linguistics","Comput. Linguist.","0891-2017","","Volume 6 Issue 1 (January-March 1980)","Volume 39 Issue 2 (June 2013)","http://dl.acm.org/citation.cfm?id=J25","http://dl.acm.org/citation.cfm?id=J25&picked=prox"
"Publications by Affiliated Organizations","Evolutionary Computation","Evol. Comput.","1063-6560","1530-9304","Volume 1 Issue 1 (Spring 1993)","Volume 21 Issue 4 (Winter 2013)","http://dl.acm.org/citation.cfm?id=J277","http://dl.acm.org/citation.cfm?id=J277&picked=prox"
"Publications by Affiliated Organizations","Journal of Computing Sciences in Colleges","J. Comput. Sci. Coll.","1937-4771","1937-4763","Volume 6 Issue 5 (May 1991)","Volume 29 Issue 3 (January 2014)","http://dl.acm.org/citation.cfm?id=J420","http://dl.acm.org/citation.cfm?id=J420&picked=prox"
"Publications by Affiliated Organizations","Journal of Usability Studies","J. Usability Studies","1931-3357","","Volume 5 Issue 4 (August 2010)","Volume 6 Issue 3 (May 2011)","http://dl.acm.org/citation.cfm?id=J1340","http://dl.acm.org/citation.cfm?id=J1340&picked=prox"
"Publications by Affiliated Organizations","Linux Journal","Linux J.","1075-3583","","Volume 1994 Issue 1es (March 1994)","Volume 2013 Issue 235 (November 2013)","http://dl.acm.org/citation.cfm?id=J508","http://dl.acm.org/citation.cfm?id=J508&picked=prox"
"Publications by Affiliated Organizations","Mobile Networks and Applications","Mob. Netw. Appl.","1383-469X","","Volume 1 Issue 1 (Aug. 1996)","Volume 18 Issue 5 (October   2013)","http://dl.acm.org/citation.cfm?id=J547","http://dl.acm.org/citation.cfm?id=J547&picked=prox"
"Publications by Affiliated Organizations","Personal and Ubiquitous Computing","Personal Ubiquitous Comput.","1617-4909","","Volume 4 Issue 4 (August 2000)","Volume 17 Issue 7 (October   2013)","http://dl.acm.org/citation.cfm?id=J822","http://dl.acm.org/citation.cfm?id=J822&picked=prox"
"Publications by Affiliated Organizations","Proceedings of the VLDB Endowment","Proc. VLDB Endow.","2150-8097","","Volume 1 Issue 1 (August 2008)","Volume 6 Issue 14 (September 2013)","http://dl.acm.org/citation.cfm?id=J1174","http://dl.acm.org/citation.cfm?id=J1174&picked=prox"
"Publications by Affiliated Organizations","The Journal of Machine Learning Research","J. Mach. Learn. Res.","1532-4435","1533-7928","Volume 1 (9/1/2001)","Volume 14 Issue 1 (January 2013)","http://dl.acm.org/citation.cfm?id=J832","http://dl.acm.org/citation.cfm?id=J832&picked=prox"
"Publications by Affiliated Organizations","The VLDB Journal &#8212; The International Journal on Very Large Data Bases","The VLDB Journal","1066-8888","","Volume 1 Issue 1 (July 1992)","Volume 22 Issue 5 (October   2013)","http://dl.acm.org/citation.cfm?id=J869","http://dl.acm.org/citation.cfm?id=J869&picked=prox"
"Publications by Affiliated Organizations","Wireless Networks","Wirel. Netw.","1022-0038","","Volume 1 Issue 1 (Feb. 1995)","Volume 19 Issue 7 (October   2013)","http://dl.acm.org/citation.cfm?id=J804","http://dl.acm.org/citation.cfm?id=J804&picked=prox"
"SIG Newsletters","3C ON-LINE","3C ON-LINE","1078-2192","","Volume 1 Issue 1 (Oct. 1994)","Volume 4 Issue 4 (Oct., 1997)","http://dl.acm.org/citation.cfm?id=J685","http://dl.acm.org/citation.cfm?id=J685&picked=prox"
"SIG Newsletters","ACM Communications in Computer Algebra","ACM Commun. Comput. Algebra","1932-2240","","Issue 8 (December 1967)","Volume 47 Issue 1/2 (March/June 2013)","http://dl.acm.org/citation.cfm?id=J1000","http://dl.acm.org/citation.cfm?id=J1000&picked=prox"
"SIG Newsletters","ACM Lisp Bulletin","Lisp Bull.","","","Volume 4 Issue 9 (September 1969)","Issue 3 (December 1979)","http://dl.acm.org/citation.cfm?id=J1166","http://dl.acm.org/citation.cfm?id=J1166&picked=prox"
"SIG Newsletters","ACM SIGACCESS Accessibility and Computing","SIGACCESS Access. Comput.","1558-2337","1558-1187","Issue 77-78 (Sept. 2003 - Jan. 2004)","Issue 107 (September 2013)","http://dl.acm.org/citation.cfm?id=J956","http://dl.acm.org/citation.cfm?id=J956&picked=prox"
"SIG Newsletters","ACM SIGACT News","SIGACT News","0163-5700","","Issue 1 (April 1969)","Volume 44 Issue 4 (December 2013)","http://dl.acm.org/citation.cfm?id=J697","http://dl.acm.org/citation.cfm?id=J697&picked=prox"
"SIG Newsletters","ACM SIGAPL APL Quote Quad","SIGAPL APL Quote Quad","0163-6006","","Volume 3 Issue 1 (June 1971)","Volume 35 Issue 4 (December 2007)","http://dl.acm.org/citation.cfm?id=J46","http://dl.acm.org/citation.cfm?id=J46&picked=prox"
"SIG Newsletters","ACM SIGAPP Applied Computing Review","SIGAPP Appl. Comput. Rev.","1559-6915","1931-0161","Volume 1 Issue 1 (Winter 1993)","Volume 13 Issue 3 (September 2013)","http://dl.acm.org/citation.cfm?id=J693","http://dl.acm.org/citation.cfm?id=J693&picked=prox"
"SIG Newsletters","ACM SIGARCH Computer Architecture News","SIGARCH Comput. Archit. News","0163-5964","","Volume 1 Issue 1 (January 1972)","Volume 41 Issue 3 (June 2013) - ICSA '13","http://dl.acm.org/citation.cfm?id=J89","http://dl.acm.org/citation.cfm?id=J89&picked=prox"
"SIG Newsletters","ACM SIGART Bulletin","SIGART Bull.","0163-5719","","Issue 24 (October 1970)","Volume 12 Issue 4 (Winter 2001)","http://dl.acm.org/citation.cfm?id=J686","http://dl.acm.org/citation.cfm?id=J686&picked=prox"
"SIG Newsletters","ACM SIGAda Ada Letters","Ada Lett.","1094-3641","","Volume I Issue 1 (July-August 1981)","Volume 33 Issue 2 (August 2013)","http://dl.acm.org/citation.cfm?id=J32","http://dl.acm.org/citation.cfm?id=J32&picked=prox"
"SIG Newsletters","ACM SIGBED Review","SIGBED Rev.","","1551-3688","Volume 1 Issue 1 (April 2004)","Volume 10 Issue 3 (October 2013)","http://dl.acm.org/citation.cfm?id=J994","http://dl.acm.org/citation.cfm?id=J994&picked=prox"
"SIG Newsletters","ACM SIGBIO Newsletter","SIGBIO Newsl.","0163-5697","","Volume 1 Issue 2 (October 1976)","Volume 21 Issue 1 (April 2001)","http://dl.acm.org/citation.cfm?id=J698","http://dl.acm.org/citation.cfm?id=J698&picked=prox"
"SIG Newsletters","ACM SIGBioinformatics Record","ACM SIGBioinformatics Rec.","2331-9291","2159-1210","Volume 1 Issue 1 (January 2011)","Volume 3 Issue 3 (September 2013)","http://dl.acm.org/citation.cfm?id=J1323","http://dl.acm.org/citation.cfm?id=J1323&picked=prox"
"SIG Newsletters","ACM SIGCAPH Computers and the Physically Handicapped","SIGCAPH Comput. Phys. Handicap.","0163-5727","","Issue 5 (Fall 1971)","Issue 76 (June 2003)","http://dl.acm.org/citation.cfm?id=J298","http://dl.acm.org/citation.cfm?id=J298&picked=prox"
"SIG Newsletters","ACM SIGCAS Computers and Society","SIGCAS Comput. Soc.","0095-2737","","Volume 1 Issue 2 (April 1970)","Volume 43 Issue 1 (May 2013) - Selected Papers from The Ninth International Conference on Computer Ethics: Philosophical Enquiry","http://dl.acm.org/citation.cfm?id=J198","http://dl.acm.org/citation.cfm?id=J198&picked=prox"
"SIG Newsletters","ACM SIGCHI Bulletin","SIGCHI Bull.","0736-6906","","Volume 14 Issue 1 (July 1982)","Volume 32 Issue 2 (April 2000)","http://dl.acm.org/citation.cfm?id=J687","http://dl.acm.org/citation.cfm?id=J687&picked=prox"
"SIG Newsletters","ACM SIGCHI Bulletin - a supplement to <i>interactions</i>","SIGCHI Bull.: suppl. <i>interactions</i>","0736-6906","1558-1217","Volume 2000 (July/August 2000)","Volume 2003 (May-June 2003)","http://dl.acm.org/citation.cfm?id=J122","http://dl.acm.org/citation.cfm?id=J122&picked=prox"
"SIG Newsletters","ACM SIGCOMM Computer Communication Review","SIGCOMM Comput. Commun. Rev.","0146-4833","","Volume 1 Issue 2 (March 1970)","Volume 43 Issue 5 (October 2013)","http://dl.acm.org/citation.cfm?id=J101","http://dl.acm.org/citation.cfm?id=J101&picked=prox"
"SIG Newsletters","ACM SIGCPR Computer Personnel","SIGCPR Comput. Pers.","0160-2497","","Volume 2 Issue 1 (July 1964)","Volume 20 Issue 4 (October 1999)","http://dl.acm.org/citation.cfm?id=J188","http://dl.acm.org/citation.cfm?id=J188&picked=prox"
"SIG Newsletters","ACM SIGCSE Bulletin","SIGCSE Bull.","0097-8418","","Volume 1 Issue 1 (February 1969)","Volume 45 Issue 4 (October 2013)","http://dl.acm.org/citation.cfm?id=J688","http://dl.acm.org/citation.cfm?id=J688&picked=prox"
"SIG Newsletters","ACM SIGCSIM Installation Management Review","Install Manag. Rev.","0163-5972","","Issue 1 (August 1969)","Volume 6 Issue 4 (December 1977)","http://dl.acm.org/citation.cfm?id=J959","http://dl.acm.org/citation.cfm?id=J959&picked=prox"
"SIG Newsletters","ACM SIGCUE Outlook","SIGCUE Outlook","0163-5735","","Volume 4 Issue 1 (February 1970)","Volume 27 Issue 3 (September 2001)","http://dl.acm.org/citation.cfm?id=J678","http://dl.acm.org/citation.cfm?id=J678&picked=prox"
"SIG Newsletters","ACM SIGDA Newsletter","SIGDA Newsl.","0163-5743","","Volume 1 Issue 1 (January 1971)","Volume 40 Issue 9 (September 2010)","http://dl.acm.org/citation.cfm?id=J700","http://dl.acm.org/citation.cfm?id=J700&picked=prox"
"SIG Newsletters","ACM SIGDOC Asterisk Journal of Computer Documentation","SIGDOC Asterisk J. Comput. Doc.","0731-1001","","Volume 2 Issue 5 (October 1975)","Volume 12 Issue 4 (December 2011)","http://dl.acm.org/citation.cfm?id=J62","http://dl.acm.org/citation.cfm?id=J62&picked=prox"
"SIG Newsletters","ACM SIGEVOlution","SIGEVOlution","","1931-8499","Volume 1 Issue 1 (April 2006)","Volume 6 Issue 1 (July 2012)","http://dl.acm.org/citation.cfm?id=J999","http://dl.acm.org/citation.cfm?id=J999&picked=prox"
"SIG Newsletters","ACM SIGFORTH Newsletter","SIGFORTH Newsl.","1047-4544","","Volume 1 Issue 1 (Spring 1989)","Volume 4 Issue 4 (Dec. 1994)","http://dl.acm.org/citation.cfm?id=J696","http://dl.acm.org/citation.cfm?id=J696&picked=prox"
"SIG Newsletters","ACM SIGGRAPH Computer Graphics","SIGGRAPH Comput. Graph.","0097-8930","","Volume 3 Issue 3 (Fal 1969)","Volume 45 Issue 1 (February 2011)","http://dl.acm.org/citation.cfm?id=J166","http://dl.acm.org/citation.cfm?id=J166&picked=prox"
"SIG Newsletters","ACM SIGGROUP Bulletin","SIGGROUP Bull.","","","Volume 18 Issue 1 (April 1997)","Volume 25 Issue 2 (February 2005) - Special issue on virtual communities","http://dl.acm.org/citation.cfm?id=J702","http://dl.acm.org/citation.cfm?id=J702&picked=prox"
"SIG Newsletters","ACM SIGHIT Record","SIGHIT Rec.","","2158-8813","Volume 1 Issue 1 (March 2011)","Volume 2 Issue 2 (September 2012)","http://dl.acm.org/citation.cfm?id=J1322","http://dl.acm.org/citation.cfm?id=J1322&picked=prox"
"SIG Newsletters","ACM SIGHPC Connect","ACM SIGHPC Connect","","2168-135X","Volume 1 Issue 1 (June 2012)","Volume 2 Issue 1 (October 2013)","http://dl.acm.org/citation.cfm?id=J1356","http://dl.acm.org/citation.cfm?id=J1356&picked=prox"
"SIG Newsletters","ACM SIGICE Bulletin","SIGICE Bull.","0893-2875","","Volume 19 Issue 3 (Feb. 1994)","Volume 23 Issue 2 (Oct. 1997)","http://dl.acm.org/citation.cfm?id=J694","http://dl.acm.org/citation.cfm?id=J694&picked=prox"
